depth,hidden_width,combo_id,lr,gamma,batch_size,eps_decay,target_update,clip_norm,eval_bubbles_popped,steps_trained,seed,model_path
1,512,2,0.0005,0.75,64,3000,1000,1.0,39,4000,2971351766,d1_w512_c2_clipon.pth
2,512,3,0.0003,0.8,128,5000,1500,,29,4000,2747972394,d2_w512_c3_clipoff.pth
1,128,1,0.001,0.6,64,1500,750,1.0,25,4000,2832958079,d1_w128_c1_clipon.pth
1,128,5,0.0002,0.7,96,4000,1200,1.0,23,4000,3763764098,d1_w128_c5_clipon.pth
1,256,5,0.0002,0.7,96,4000,1200,1.0,20,4000,3437218991,d1_w256_c5_clipon.pth
3,128,1,0.001,0.6,64,1500,750,1.0,19,4000,2717283546,d3_w128_c1_clipon.pth
1,256,5,0.0002,0.7,96,4000,1200,,18,4000,2737003947,d1_w256_c5_clipoff.pth
1,256,2,0.0005,0.75,64,3000,1000,,17,4000,2910615934,d1_w256_c2_clipoff.pth
3,128,4,0.0001,0.9,128,8000,2000,,15,4000,679799820,d3_w128_c4_clipoff.pth
2,256,2,0.0005,0.75,64,3000,1000,1.0,14,4000,2408225798,d2_w256_c2_clipon.pth
1,256,4,0.0001,0.9,128,8000,2000,,14,4000,3640485274,d1_w256_c4_clipoff.pth
3,512,4,0.0001,0.9,128,8000,2000,1.0,14,4000,413990546,d3_w512_c4_clipon.pth
2,256,4,0.0001,0.9,128,8000,2000,1.0,13,4000,3138095139,d2_w256_c4_clipon.pth
1,128,3,0.0003,0.8,128,5000,1500,1.0,12,4000,3033894757,d1_w128_c3_clipon.pth
3,256,3,0.0003,0.8,128,5000,1500,,12,4000,2420392735,d3_w256_c3_clipoff.pth
2,256,4,0.0001,0.9,128,8000,2000,,12,4000,2437880094,d2_w256_c4_clipoff.pth
1,128,2,0.0005,0.75,64,3000,1000,,11,4000,65605013,d1_w128_c2_clipoff.pth
1,512,5,0.0002,0.7,96,4000,1200,,11,4000,1568592073,d1_w512_c5_clipoff.pth
3,512,2,0.0005,0.75,64,3000,1000,1.0,11,4000,2855677233,d3_w512_c2_clipon.pth
2,128,4,0.0001,0.9,128,8000,2000,,10,4000,3339448047,d2_w128_c4_clipoff.pth
3,256,1,0.001,0.6,64,1500,750,,10,4000,1055799363,d3_w256_c1_clipoff.pth
3,256,5,0.0002,0.7,96,4000,1200,,10,4000,3150262075,d3_w256_c5_clipoff.pth
1,512,4,0.0001,0.9,128,8000,2000,1.0,10,4000,3172288445,d1_w512_c4_clipon.pth
2,512,4,0.0001,0.9,128,8000,2000,1.0,10,4000,3073638773,d2_w512_c4_clipon.pth
2,128,1,0.001,0.6,64,1500,750,1.0,9,4000,524598785,d2_w128_c1_clipon.pth
2,256,1,0.001,0.6,64,1500,750,1.0,9,4000,1303807792,d2_w256_c1_clipon.pth
1,128,5,0.0002,0.7,96,4000,1200,,8,4000,3063549053,d1_w128_c5_clipoff.pth
1,512,4,0.0001,0.9,128,8000,2000,,8,4000,2472073401,d1_w512_c4_clipoff.pth
2,512,2,0.0005,0.75,64,3000,1000,,8,4000,479897695,d2_w512_c2_clipoff.pth
3,128,4,0.0001,0.9,128,8000,2000,1.0,7,4000,1380014865,d3_w128_c4_clipon.pth
3,128,5,0.0002,0.7,96,4000,1200,1.0,7,4000,476533537,d3_w128_c5_clipon.pth
2,256,3,0.0003,0.8,128,5000,1500,,7,4000,804529426,d2_w256_c3_clipoff.pth
2,128,2,0.0005,0.75,64,3000,1000,,6,4000,2609578707,d2_w128_c2_clipoff.pth
1,128,4,0.0001,0.9,128,8000,2000,1.0,6,4000,2659346091,d1_w128_c4_clipon.pth
1,256,2,0.0005,0.75,64,3000,1000,1.0,6,4000,3610830979,d1_w256_c2_clipon.pth
1,512,1,0.001,0.6,64,1500,750,1.0,6,4000,1338001098,d1_w512_c1_clipon.pth
3,512,1,0.001,0.6,64,1500,750,1.0,6,4000,587602533,d3_w512_c1_clipon.pth
3,128,5,0.0002,0.7,96,4000,1200,,5,4000,4071285787,d3_w128_c5_clipoff.pth
2,256,2,0.0005,0.75,64,3000,1000,,5,4000,1708010754,d2_w256_c2_clipoff.pth
3,256,2,0.0005,0.75,64,3000,1000,1.0,5,4000,4024089107,d3_w256_c2_clipon.pth
2,128,1,0.001,0.6,64,1500,750,,4,4000,341504007,d2_w128_c1_clipoff.pth
1,256,1,0.001,0.6,64,1500,750,,4,4000,1806197928,d1_w256_c1_clipoff.pth
2,128,5,0.0002,0.7,96,4000,1200,1.0,4,4000,3136181764,d2_w128_c5_clipon.pth
1,256,1,0.001,0.6,64,1500,750,1.0,4,4000,2506412972,d1_w256_c1_clipon.pth
1,256,3,0.0003,0.8,128,5000,1500,1.0,4,4000,3236282312,d1_w256_c3_clipon.pth
3,256,2,0.0005,0.75,64,3000,1000,,4,4000,152318035,d3_w256_c2_clipoff.pth
3,256,5,0.0002,0.7,96,4000,1200,1.0,4,4000,3850477119,d3_w256_c5_clipon.pth
3,512,3,0.0003,0.8,128,5000,1500,,4,4000,88324167,d3_w512_c3_clipoff.pth
2,256,1,0.001,0.6,64,1500,750,,3,4000,603592748,d2_w256_c1_clipoff.pth
1,512,1,0.001,0.6,64,1500,750,,3,4000,637786054,d1_w512_c1_clipoff.pth
3,256,3,0.0003,0.8,128,5000,1500,1.0,3,4000,3120607779,d3_w256_c3_clipon.pth
1,512,2,0.0005,0.75,64,3000,1000,,3,4000,2271136722,d1_w512_c2_clipoff.pth
2,256,5,0.0002,0.7,96,4000,1200,1.0,3,4000,2234613811,d2_w256_c5_clipon.pth
1,512,3,0.0003,0.8,128,5000,1500,,3,4000,1367655394,d1_w512_c3_clipoff.pth
2,512,1,0.001,0.6,64,1500,750,1.0,3,4000,3247250760,d2_w512_c1_clipon.pth
3,512,2,0.0005,0.75,64,3000,1000,,3,4000,3278873456,d3_w512_c2_clipoff.pth
2,512,3,0.0003,0.8,128,5000,1500,1.0,3,4000,3448187439,d2_w512_c3_clipon.pth
3,512,4,0.0001,0.9,128,8000,2000,,3,4000,4008742796,d3_w512_c4_clipoff.pth
3,512,5,0.0002,0.7,96,4000,1200,1.0,3,4000,2682065246,d3_w512_c5_clipon.pth
1,128,1,0.001,0.6,64,1500,750,,0,4000,2132743034,d1_w128_c1_clipoff.pth
3,128,1,0.001,0.6,64,1500,750,,0,4000,3140479768,d3_w128_c1_clipoff.pth
3,128,2,0.0005,0.75,64,3000,1000,,0,4000,478863142,d3_w128_c2_clipoff.pth
1,128,2,0.0005,0.75,64,3000,1000,1.0,0,4000,3937376085,d1_w128_c2_clipon.pth
2,128,2,0.0005,0.75,64,3000,1000,1.0,0,4000,3309793751,d2_w128_c2_clipon.pth
1,128,3,0.0003,0.8,128,5000,1500,,0,4000,2333679713,d1_w128_c3_clipoff.pth
3,128,2,0.0005,0.75,64,3000,1000,1.0,0,4000,1179078186,d3_w128_c2_clipon.pth
2,128,3,0.0003,0.8,128,5000,1500,,0,4000,1071373347,d2_w128_c3_clipoff.pth
3,128,3,0.0003,0.8,128,5000,1500,,0,4000,3870349109,d3_w128_c3_clipoff.pth
1,128,4,0.0001,0.9,128,8000,2000,,0,4000,1959131047,d1_w128_c4_clipoff.pth
2,128,3,0.0003,0.8,128,5000,1500,1.0,0,4000,648177124,d2_w128_c3_clipon.pth
3,128,3,0.0003,0.8,128,5000,1500,1.0,0,4000,275596858,d3_w128_c3_clipon.pth
2,128,4,0.0001,0.9,128,8000,2000,1.0,0,4000,4039663092,d2_w128_c4_clipon.pth
2,128,5,0.0002,0.7,96,4000,1200,,0,4000,2435966719,d2_w128_c5_clipoff.pth
1,256,3,0.0003,0.8,128,5000,1500,,0,4000,2536067268,d1_w256_c3_clipoff.pth
3,256,1,0.001,0.6,64,1500,750,1.0,0,4000,1756014407,d3_w256_c1_clipon.pth
1,256,4,0.0001,0.9,128,8000,2000,1.0,0,4000,45733024,d1_w256_c4_clipon.pth
2,256,3,0.0003,0.8,128,5000,1500,1.0,0,4000,381333203,d2_w256_c3_clipon.pth
2,256,5,0.0002,0.7,96,4000,1200,,0,4000,1534398767,d2_w256_c5_clipoff.pth
3,256,4,0.0001,0.9,128,8000,2000,,0,4000,353254713,d3_w256_c4_clipoff.pth
3,256,4,0.0001,0.9,128,8000,2000,1.0,0,4000,4225025786,d3_w256_c4_clipon.pth
2,512,1,0.001,0.6,64,1500,750,,0,4000,2547035716,d2_w512_c1_clipoff.pth
1,512,3,0.0003,0.8,128,5000,1500,1.0,0,4000,2067870438,d1_w512_c3_clipon.pth
3,512,1,0.001,0.6,64,1500,750,,0,4000,4182354784,d3_w512_c1_clipoff.pth
2,512,2,0.0005,0.75,64,3000,1000,1.0,0,4000,56701472,d2_w512_c2_clipon.pth
1,512,5,0.0002,0.7,96,4000,1200,1.0,0,4000,2268807117,d1_w512_c5_clipon.pth
2,512,4,0.0001,0.9,128,8000,2000,,0,4000,2373423728,d2_w512_c4_clipoff.pth
2,512,5,0.0002,0.7,96,4000,1200,,0,4000,3477841735,d2_w512_c5_clipoff.pth
3,512,3,0.0003,0.8,128,5000,1500,1.0,0,4000,788539212,d3_w512_c3_clipon.pth
2,512,5,0.0002,0.7,96,4000,1200,1.0,0,4000,4178056779,d2_w512_c5_clipon.pth
3,512,5,0.0002,0.7,96,4000,1200,,0,4000,3105261468,d3_w512_c5_clipoff.pth
